federation_level,x,y,fed_y
Germany,"Мне сказали парамедики и доктора в госпитале, что никакой оплаты не будет. Так что, в данном случае, если скорая помощь, то, возможно, бесплатная она только для нас сейчас",0,Germany_0
Germany,"Здесь такое не практикуется. Тут надо самому ехать к врачу. Система другая. Едьте, как Вам посоветовали ранее, до ближайшей больницы, Вас должны будут принять",0,Germany_0
Germany,"Один платный а второй бесплатный. Бесплатный вроде как терария называется, или что-то похожее на это слово.",0,Germany_0
Germany,"Шукаємо лікаря-ендокринолога, потрібно виписати рецепт на гормони. Бажано україномовного, документи тільки українські від минулого лікаря ГАМБУРГ",0,Germany_0
Germany,Страховка AOK выданная здесь украинцам и оплачиваемая Джобцентром действует на территории всего ЕС или только в Германии? Кто знает?,0,Germany_0
Germany,"Ми отримали мамі ліки від тиску безкоштовно. І не тільки ліки. По червоному рецепту отримали навіть тонометр для вимірювання тиску, правда, аж через 3 тижні після погодження з соціалямтом. А от мені виписали на зеленому рецепті аналог українського магнікору. То попередили, що платно, бо в Німеччині такі ліки не приймають як в Україні щоденно, і їх ефективність не доведена.",0,Germany_0
Germany,В Opollo optik Дают или очки бесплатно Или линзы мягкие (одну пару покупаешь со скидкой и две пары дают бесплатно ),0,Germany_0
Germany,"Здравствуйте, подскажите пожалуйста, русскоязычного психиатра, с которым можно пообщаться онлайн и он может выписать рецепт, спасибо.",0,Germany_0
Germany,Здравствуйте такой вопрос я приехал с женой. Уже я работаю мед страхования делается и банковская карточка тоже делается мы прописаны на квартире. Можем ли мы идти ви джоб центр или надо страховка жене или нам ещё надо соц страховка?,0,Germany_0
Germany,"Доброе утро, подскажите, пожалуйста, может кто знает где можно купить чай от простуды, типа фармацитрона или колдрекса. Слышала что есть много похожих лекарств в Rossman, но не знаю названий. Или лучше сходить в аптеку, я думаю они без рецепта должны такое продавать?",0,Germany_0
Germany,"Цікавить чи є тут люди, які не отримують соціальну допомогу і живуть за власний рахунок? Мене цікавить інформація як ви робили медичне страхування? Які страхові компанії обрали? Дякую)",0,Germany_0
Germany,"В смысле ""ближайшее к дому"", они туда пешком что ли будут ходить? Я вообще понятия не имею, где физический офис моей страховки находится, вся переписка через е-мейл и портал Пусть ищут то, что удобно людям, которые умеют пользоваться интернетом, а не то, что сделали удобно для пенсионеров, боящихся техники - если удобно для них, гарантировано будет кошмар для молодых",0,Germany_0
Germany,"Доброго времени, Нужен врачь для ребёнка хирург травмотолог, Кто подскажет больницу,если есть рускоязычный,Хомбург или по земле Саар,Благодарю",0,Germany_0
