federation_level,x,x_translation,y
Portugal,"About rent conditions in Portugal. 1- house can be ready or naked there's no standard so do check. 2- utilities (electricity, water and gas) in most parts of Portugal aren't included on rent price. 3- Two month advance rent is the most common contract.","About rent conditions in Portugal. 1- house can be ready or naked there's no standard so do check. 2- utilities (electricity, water and gas) in most parts of Portugal aren't included on rent price. 3- Two month advance rent is the most common contract.",
Portugal,hi! is it possible to find cheap appartment in Lisbon (not airbnb) for long term without temporary residence / NIF etc?,"Hello! Is it possible to find a cheap apartment in Lisbon (not Airbnb) for long-term without temporary residence/NIF, etc.?",
France,Нам карточку віталь наскільки знаю не роблять вона для тих хто постійно живе тут ми просто користувалися папером який прийшов на адресу там ж номер страхового випадку ось по ньому. Вже були в лікаря а та отримали безкоштовно ліки в аптеці,We were told that we cannot get a residence permit because we do not permanently live here. We just used the paper that came to our address with the insurance number on it. We have already been to the doctor and received free medication at the pharmacy.,
Germany,"Что по сертификатам вакцины? Проверяют ли на входе в любое место или нет? Если дия не работает в Германии, а сертификат только там…","What about vaccine certificates? Are they checked at the entrance to any place or not? If the vaccine doesn't work in Germany, but the certificate is only there...",
Switzerland,"тут страховка и цена зависит прям там где вы живете , прям от города или деревни цена зависит в среднем 300-500 в месяц стоит","The insurance and price depend directly on where you live, on the city or village, the price is on average 300-500 per month.",
Switzerland,Я и подруга делали бустер. Нас спрашивали страховку ( Если вопрос о прививке от ковид - а то эта фирма много вакцин выпускает)..,My friend and I got a booster shot. They asked us for insurance (if the question is about the COVID vaccine - this company produces a lot of vaccines)..,
France,"Вы где во Франции? Я могу помочь чем могу, живу в 1.5 часах от Парижа, тут уже расселяют беженцев, есть контакты красного креста и помощи беженцам, мой телефон: 0619178289 Юля","Hello. Where are you in France? I can help as much as I can. I live 1.5 hours from Paris, refugees are already being resettled here. I have contacts with the Red Cross and refugee assistance. My phone number is 0619178289. Julia.",
Belgium,"Добрый день! Подскажите, если ребёнок 3года рассекла переносицу. Мед страховки ещё нет, карты А тоже. Как обращаться в больницу, можно в любую, примут ли?","Hello! Please advise, if a child of 3 years old has cut their nose. There is no medical insurance yet, and no card A either. How to apply to the hospital, can I go to any hospital, will they accept me?",
Spain,"Валенсия Муж с женой 25 лет Аренда с 1 апреля на долгий срок Желательно чтобы была стиралка , ванная комната","Valencia. Husband and wife, 25 years old. Rent for a long term starting from April 1st. Preferably with a washing machine and a bathroom.",
Spain,"Доброго дня. Я з донькою 6 років приїхали в Аліканте відправити посилку в Київ , вирішили залишитись тут ще на день, завтра до алкою назад Чи може хтось допомогти ж житлом на одну ніч.??? Може хтось знае не дорогі хостели чи може нас приютити? Ми зараз біля Melia Alicante на пляжі.",Good day. My 6-year-old daughter and I came to Alicante to send a package to Kyiv. We decided to stay here for one more day and tomorrow we will go back to Alcoy. Can someone help us with accommodation for one night? Maybe someone knows cheap hostels or can shelter us? We are now near Melia Alicante on the beach.,
Switzerland,"Мои в Румынию заехали и сказали, что в Швейцарию направляются. Их не пускают. Говорят нужно какие-то документы оформлять в Бухаресте 🤔",My relatives went to Romania and said they are heading to Switzerland. They are not allowed to enter. They say they need to arrange some documents in Bucharest 🤔,
Switzerland,"Есть какой-то перевозчик забрать человека из Одессы в любой город Щвейцарии? Напишите, плиз , в личку",Is there any carrier to pick up a person from Odessa to any city in Switzerland? Please write in private.,
Germany,"Ребят, кто подскажет вопрос деликатный. Детей какого возраста принудительно вакцинируют в Германии? С какого возраста заставляют делать вакцину? В Украине только с 12 лет","Hey guys, can someone help me with a delicate question. At what age are children in Germany forcibly vaccinated? From what age are they required to get vaccinated? In Ukraine, it's only from 12 years old.",
Spain,"Скажите, пожалуйста, кто заезжал в Испанию из Польши, польская страховка подходит? Или надо украинскую грин карту оформить? Или в испании уже что-то оформлять?","Hello, please tell me, if someone traveled to Spain from Poland, is the Polish insurance valid? Or do they need to get a Ukrainian green card? Or do they need to arrange something in Spain?",
Poland,"Здравствуйте! Подскажите пожалуйста есть хоть какая-то возможность обменять гривни в Польше? Есть только наличные, как можно их положить на карту? помогите пожалуйста 🙏","Hello! Please tell me if there is any possibility to exchange hryvnias in Poland? I only have cash, how can I put it on a card? Please help 🙏",
Poland,"Добрый день! Может кто то подсказать банк в Кракове, чтобы можно было открыть карту и перевести туда деньги с украинской карты.Спасибо.",Hello! Can someone recommend a bank in Krakow where I can open a card and transfer money from a Ukrainian card there? Thank you.,
Germany,"Здравствуйте,семья из 5 человек ищет место проживания,2 взрослых муж и жена и 3 детей возраста 3,6,13 лет,девчонки!","Hello, a family of 5 is looking for a place to live, 2 adults - husband and wife, and 3 children aged 3, 6, and 13 - girls!",
France,"Добрий вечір, шукаю маленьку квартиру в Ніцці ( я,42 роки, мій син -13 та мама-65). Порядність гарантуємо. Або 3-х кімнатну квартиру на 2 сім’ї . Дякую","Good evening. I am looking for a small apartment in Nice (I am 42 years old, my son is 13 and my mother is 65). We guarantee honesty. Or a 3-room apartment for 2 families. Thank you.",
Czech Republic,"Доброго вечора! Підкажіть, будь-ласка. Для оформлення тимчасового прихистку (візи), потрібно вказувати місце проживання і тп. Питання - у кого прийняли заяву з адресом проживання у хостелі\готелі? (в інших окружних містах, окрім Праги). Оренда житла не дешева, тому може приймають заяви з адресом проживання у хостелі\готелі. Прагу не беру до уваги, тому як там приймають заяви лише з місцем прописки у орендодавця квартири. Буду щиро вдячна за інформацію🙏🏻❤️","Good evening! Please advise. To apply for temporary shelter (visa), it is necessary to indicate the place of residence, etc. The question is - who has submitted an application with a hostel/hotel address? (in other regional cities besides Prague). Renting accommodation is not cheap, so maybe they accept applications with a hostel/hotel address. I am not considering Prague, as they only accept applications with a registered address with the apartment landlord. I will be sincerely grateful for the information🙏🏻❤️",
France,"Добрый день, подскажите, пожалуйста, как лучше добираться до Лиможа? Есть ли какие-то бесплатные поезда/авиарейсы? Сейчас нахожусь на границе с Польшей. Спасибо за ответ.","Hello, please advise on the best way to get to Limoges? Are there any free trains/flights? I am currently at the border with Poland. Thank you for your answer.",
France,"Пробуйте по-другому. Я переводил из литовского (филиала шведского) банка, у меня зашло без процентов.","Try a different approach. I translated from a Lithuanian (branch of Swedish) bank, and I didn't get charged any fees. ",
Spain,"Добрий день! Підскажіть ,будь ласка, чи можу я придбати безкоштовний квиток онлайн на поїзд renfe з Малаги до Барселони? Чи це тільки в касах ж/д?",Good afternoon! Can you please tell me if I can buy a free online ticket for the renfe train from Malaga to Barcelona? Or is it only available at railway ticket offices?,
Portugal,"Привіт! Я з сім‘єю в Порто, ми з чоловіком, і 2 дітей. Потрібна допомога з пошуком житла. Як можна підключитися до вашої бази?",Hello! My family and I (my husband and 2 children) are in Porto and we need help finding accommodation. How can we connect to your database?,
Poland,"Шукаю 1 або двокімнатну квартиру в Кракові. Або хто в курсі зорієнтуйте що тут цінах, будь ласка. Чи реально знайти без ріелтора? Куди не дзвонив сьогодні або здано або ріелтор 😱","Looking for a one or two-room apartment in Krakow. Or if anyone knows, please advise on the prices here. Is it possible to find without a realtor? Today, everywhere I called, either it's already rented out or it's a realtor 😱",
France,"Подскажите кто знает заказала по страховке очки в которых немогу ходить, могу ли я заказать контактные линзы?Или страховка покрывает что то одно либо очки либо линзы?","Can someone advise if I ordered glasses through insurance but can't wear them, can I order contact lenses? Or does insurance cover only one thing, either glasses or lenses?",
Spain,Добрый день. Подскажите пожалуйста пропустят ли в самолёт ребёнка без разрешения второго родителя(отца),Hello. Please tell me if a child will be allowed on a plane without the permission of the second parent (father).,
Germany,"Добрый вечер. Подскажите, пожалуйста, каким общественным транспортом можно добраться с Дорстена до Плеттенбнрга быстрее?",Good evening. Please tell me which public transport can I take to get from Dorsten to Plettenbnrg faster?,
France,"100%, так как у людей здесь были штрафы, в Париж вовсе не выдаёт уже бесплатные билеты на поезд тем, кто много ездит","<100%, since people here have fines, Paris no longer issues free train tickets to those who travel a lot>",
Germany,Потому что надо понимать разницу между статусом беженца и статусом временной защиты. В беженство смысла сейчас нет,Because it is necessary to understand the difference between refugee status and temporary protection status. There is no point in seeking asylum now.,
France,Нужно идти к семейному врачу и просить направления к узким специалистам. Страховка покрывает государсивеннных врачей,You need to go to your family doctor and ask for referrals to specialists. Insurance covers government doctors.,
Switzerland,"Спасибо😅, Но я дерматолога ищу. Мне местные сказали что в госпиталь только в экстренных случаях ходят, теперь не знаю где дерматолога искать","Thank you 😅, but I am looking for a dermatologist. Locals told me that they only go to the hospital in emergency cases, now I don't know where to look for a dermatologist.",
France,"Добрий день, хто відкривав рахунок в банку агріколь чи можете допомогти, зараз відкриваємо рахунок і питають чи знаю українців які відкривали щоб побачити в системі як реєструвати, чи можете мені в особисті Прізвище Ім‘я написати на яке в банку відкривали","Hello, who has opened an account in Agricole bank or can help, we are opening an account now and they are asking if I know Ukrainians who have opened it to see how to register in the system, can you write me in private the Last Name and First Name on which the account was opened in the bank?",
Belgium,"Напишите или попробуйте узнать контактный номер любого педиатра с вашей детской клиники , они сейчас могут онлайн делать выписку с прививками и пришлют вам","Please write or try to find the contact number of any pediatrician from your children's clinic, they can now make an online vaccination certificate and send it to you.",
France,"Здравствуйте, хотела бы узнать , входят ли лечение зубов , Брекет системой в медицинскую страховку? Если нет , может кто знает куда можно обратиться за помощью ?","Hello, I would like to know if dental treatment with braces is covered by medical insurance? If not, does anyone know where to turn for help?",
Czech Republic,"Доброго ранку. Підкажіть будь ласка хто їздив нещодавно з Праги в Україну через Пшемисль потягом ІС, скільки коштує квиток на потяг до Пшемисль? Касир мені сказала що дасть квиток тільки до кордону з Польщею, а далі потрібно купувати. Дякую за відповідь.","Good morning. Please tell me who recently traveled from Prague to Ukraine through Przemysl by train, how much does a train ticket to Przemysl cost? The cashier told me that she will give a ticket only to the border with Poland, and then I need to buy it. Thank you for your answer.",
Belgium,А какая может быть причина чтобы Вам отказать в открытии счёта в банке в Украине если Вы являетесь гражданином Украины?,What could be the reason for refusing to open a bank account in Ukraine if you are a citizen of Ukraine?,
Germany,"Подскажите пожалуйста В месяц приходят от 2000-5000 на Украинскую карту , месяц может никакого зачисления не быть . Стабильности в переводах нет , высылает Сестра . Половину сумы я сразу перевожу бабушке ( запутано ) Как мне это задекларировать?","Please tell me, if I receive 2000-5000 on my Ukrainian card per month, there may be no deposits for a month. There is no stability in transfers, my sister sends it. I immediately transfer half of the amount to my grandmother (it's confusing). How do I declare this?",
Spain,"Ищу жильё в Кальпе на два месяца, июнь - июль. Бюджет до 1500 евро. Мама и трое детей (дочки 14,11 и 9 лет)","Looking for accommodation in Calpe for two months, June - July. Budget up to 1500 euros. Mother and three children (daughters 14, 11 and 9 years old).",
Spain,"Ищем жилье в Алтеа, на месяц минимум , 2 взрослых и 2 детей ( 3 и 7 лет) , бюджет 600–800 евро. Будем благодарны за любую информацию","Looking for accommodation in Altea, for a minimum of one month, 2 adults and 2 children (3 and 7 years old), budget 600-800 euros. We would be grateful for any information.",
Germany,Добрый вечер. Подскажите пожалуйста может кто-то сталкивался с этим. Читала что Германия принимает раненых украинских военных на бесплатное лечение. Возможно знаете какие больницы помогают лечить бесплатно и возможно кто-то обращался.,Good evening. Please tell me if someone has encountered this. I read that Germany provides free treatment for injured Ukrainian military personnel. Perhaps you know which hospitals help with free treatment and maybe someone has applied.,
Poland,"Добрий день. Чи є в когось номера автобусів з Первомайську чи Уманя до Варшави? Чи до границі ❤️ Чи можливо хтось їде машиною, за кошти 👼🏻","Good day. Does anyone have bus numbers from Pervomaisk or Uman to Warsaw? Or to the border ❤️ Is it possible that someone is going by car, for a fee 👼🏻",
